textID,text
textID,text
cb774db0d1," I`d have responded, if I were going"
549e992a42, Sooo SAD I will miss you here in San Diego!!!
088c60f138,my boss is bullying me...
9642c003ef, what interview! leave me alone
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought"
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos
50e14c0bb8,Soooo high
e050245fbd, Both of you
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?)
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"
16fab9f95b,I really really like the song Love Story by Taylor Swift
74a76f6e0a,My Sharpie is running DANGERously low on ink
04dd1d2e34,i want to go to music tonight but i lost my voice.
bbe3cbf620,test test from the LG enV2
8a939bfb59,"Uh oh, I am sunburned"
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*"
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
af3fed7fc3,is back home now      gonna miss every one
40e7becabf,Hes just not that into you
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet
7de057cf40,is cleaning the house for her family who is comming later today..
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted"
852edc3769,  I`m sorry.
bdc32ea43c,On the way to Malaysia...no internet access to Twit
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
2dc51711bc, That`s very funny.  Cute kids.
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
fab6b7d16c,im an avid fan of **** magazine and i love your magazines
2e7082d1c8,MAYDAY?!
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!
c3924dc9e4,:visiting my friendster and facebook
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more"
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter
15d5f3a41b," also bored at school, its my third freelesson( freistunde )"
3c4a21b2cb, hm... Both of us I guess...
11084dac09, it is ****...u have dissappointed me that past few days
d8ba2a99a9, romance zero is funny
e77fd45003, I`d rather do the early run..but I am a morning runner
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now
6086b1f016,will be back later.  http://plurk.com/p/rp3k7
703afdc44b,Aw. Torn ace of hearts  #Hunchback
90f3d2b572, what fun are you speaking of?
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home"
a4b0888da6, haha yes
2a9765b7f9,I give in to easily
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR
23e1f7dca4,Is at a photoshoot.
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing
fa2654e730,Chilliin
187494c25b," If you know such agent, do let me know"
4213627c3c,I still smell of smoke  #kitchenfire
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?"
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD."
b2c9f115b1, My sources say no
0a61cbf4b5,I am sooo tired
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me..."
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....
cb4d439ebc,fell asleep waiting for my ride!
64ed512788,Sick. With a flu like thing.
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys"
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK)
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him."
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow
